title,employer,min_salary,max_salary,source,link
Data Management Engineer,ТОО Ренко-КАТ,-,-,https://hh.ru,https://hh.ru/vacancy/43658932
QA Automation Engineer (Python) - Disaster Management,ООО Контурные карты,1 500 USD,3 000 USD,https://hh.ru,https://hh.ru/vacancy/43193072
Data engineer,Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/39888796
Data Scientist (ЦК КХД),АО ДОМ.РФ,-,-,https://hh.ru,https://hh.ru/vacancy/43200169
System/ Business Analyst (Remote),Spark Equation,130 000 руб.,200 000 руб.,https://hh.ru,https://hh.ru/vacancy/42800283
Инженер данных / Data engineer / ETL специалист,ООО Ресурс Групп,-,-,https://hh.ru,https://hh.ru/vacancy/43910499
Junior Big Data Software Engineer (Scala),DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43267211
DevOps инженер (Big Data),"ПАО «МТС», IT",-,-,https://hh.ru,https://hh.ru/vacancy/43128569
Data Engineer (Analytics Core),Skyeng,-,-,https://hh.ru,https://hh.ru/vacancy/42543742
Sr Manager Data Science,Align Technology,-,-,https://hh.ru,https://hh.ru/vacancy/42577986
Архитектор баз данных/Data Engineer,ПАО Банк Санкт-Петербург,-,-,https://hh.ru,https://hh.ru/vacancy/42746402
Data Scientist,Метинвест Диджитал,-,-,https://hh.ru,https://hh.ru/vacancy/43924517
Senior Data Engineer в BI Team,ООО ЭдСервер,-,-,https://hh.ru,https://hh.ru/vacancy/43736102
Data Scientist на направление персонализации сервисов,СберМаркет,-,-,https://hh.ru,https://hh.ru/vacancy/43184775
"Senior Data Engineer, Transport Booking System",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/42615072
Data Engineer,Playkot,-,-,https://hh.ru,https://hh.ru/vacancy/43034067
Data Architect,Райффайзен Банк Аваль,-,-,https://hh.ru,https://hh.ru/vacancy/43700589
Data Engineer,Game Insight,-,-,https://hh.ru,https://hh.ru/vacancy/39408997
Data engineer,ТОО Bureau for Continuing Professional Development Ltd.,-,-,https://hh.ru,https://hh.ru/vacancy/43902160
Senior Java Software Engineer  to Canada,Behavox,8 000 USD,-,https://hh.ru,https://hh.ru/vacancy/43405133
Data Engineer,Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43926970
Data инженер (Middle\Senior),COMPAREX,150 000 руб.,250 000 руб.,https://hh.ru,https://hh.ru/vacancy/42713756
Data Engineer (Sberbank Process Mining),Сбер. IT,-,-,https://hh.ru,https://hh.ru/vacancy/43881392
Data Engineer (Junior+),Kelly Services,120 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43895508
Senior DevOps Engineer - Automation (to Canada),Behavox,10 000 USD,-,https://hh.ru,https://hh.ru/vacancy/42678591
"Data Engineer with AWS Experience, Fintech Solutions",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43956703
QA Automation Engineer (Python),"Dell Technologies, Центр Разработок",-,-,https://hh.ru,https://hh.ru/vacancy/43768652
Data Engineer,Star,-,-,https://hh.ru,https://hh.ru/vacancy/42761753
